country,year,area,population,gdp_per_capita,population_density,vehicle_ownership,total_road_deaths,road_deaths_per_million_inhabitants
United Kingdom,2018,248.5,"66,273,576","32,400",273,544,1825,28
Denmark,2018,42.9,"5,781,190","47,600",137,508,175,30
Ireland,2018,69.8,"4,830,392","59,400",70,525,146,31
Netherlands,2018,41.5,"17,181,084","41,500",508,543,678,31
Sweden,2018,438.6,"10,120,242","43,300",25,542,324,32
Malta,2018,0.3,"475,701","21,600","1,462",726,18,38
Germany,2018,357.3,"82.792,351","35,900",237,610,3177,39
Spain,2018,506.0,"46,658,447","25,000",93,611,1806,39
Finland,2018,338.4,"5,513,130","36,600",18,732,225,43
Slovenia,2018,20.3,"2,066,880","20,200",103,587,91,44
Austria,2018,83.9,"8,822,267","38,000",107,665,409,45
Slovakia,2018,49.0,"5,443,120","15,600",113,455,229,46
France,2018,632.8,"66,926,166","32,800",123,590,3265,48
EU 28 Total,2018,"4,463.4","512,379,225","28,200",121,587,25249,49
Estonia,2018,45.2,"1,319,133","15,100",30,620,67,51
Belgium,2018,30.5,"11,398,589","35,300",376,585,590,52
Italy,2018,302.1,"60,483,973","26,700",206,707,3310,55
Cyprus,2018,9.3,"864,236","23,300",128,726,49,57
Portugal,2018,92.2,"10,291,027","17,900",112,479,606,59
Luxembourg,2018,2.6,"602,005","80,800",245,740,36,60
Lithuania,2018,65.3,"2,808,901","13,300",45,501,170,61
Czech Republic,2018,78.9,"10,610,055","17,600",137,570,656,62
Greece,2018,132.0,"10,741,165","17,800",83,605,690,64
Hungary,2018,93.0,"9,778,371","12,500",108,394,629,64
Poland,2018,312.7,"37,976,687","12,400",124,672,2862,76
Croatia,2018,56.5,"4,105,493","11,500â€ a",74,416,317,77
Latvia,2018,64.6,"1,934,379","12,300",31,387,143,78
Bulgaria,2018,111.0,"7,050,034","6,500",65,516,611,88
Romania,2018,238.4,"19,530,631","8,700",85,329,1867,96